user,location,timezone,loc,text
168696089,,Eastern Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
566890890,,Central Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
759073229944164352,,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
256565027,"worcester, ma",Eastern Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
1186765856,,Pacific Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
2180735244,"BrookLille, Fives, 59000",Ljubljana,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
1520442222,,Arizona,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
1329424273,,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
30635383,"Fort Myers, Florida",Mountain Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
944531131,"Washington, DC",Atlantic Time (Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
778297432165781504,"Durango, CO",Pacific Time (US & Canada),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
2998772153,,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
2746006015,,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
1347884784,Northern Indiana,Indiana (East),,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
3030105733,"Bremen, Deutschland",Belgrade,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
847865147179888642,Ouagadougou ,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
3884713693,,,,RT @BernieSanders: The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who alre…
62107931,"Bogotá, D.C., Colombia",America/Bogota,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
2768169917,,,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
3030105733,"Bremen, Deutschland",Belgrade,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
807289153624965120,Magnostadt,,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
459681402,,,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
857815391191670784,,,,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
2151953562,Minnesota,Central Time (US & Canada),,RT @BernieSanders: Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and discrimi…
