id,text
937020642410582017,"RT @ninaturner: I’m here in Dayton, Ohio w/ @BernieSanders bringing the message to the people! We are on the move. #GOPTaxBill @OurRevoluti…"
935706980643147777,The Republican tax bill is a moral abomination that would take away from so many in need to give more to people who… https://t.co/Ki5nI52akn
932781561845608448,Attacks against trans people are part of a bigotry which has got to end. We must work together until hatred and dis… https://t.co/ivvXgcmIV2
931557926615027713,RT @viceimpact: .@BernieSanders on why it's time to make college tuition free. Here's how it is going to happen: https://t.co/SytekdcQfC ht…
930951816124289024,RT @politico: Tim Kaine calls for eliminating superdelegates https://t.co/9wT14ztIrq https://t.co/ntqurvzzb2
930830024156106752,"RT @VICE: Bernie Sanders’s socialist revolution is happening, very slowly: https://t.co/SCJvacI8CW https://t.co/cc3ZPb4GKr"
930179091638210560,"I hope and expect that the United States will assist in disaster relief efforts for Iran, as we did in 2003 and 201… https://t.co/SDA0rUONXR"
930178970125029376,"The devastation from the earthquake in Iran last night is horrific. My thoughts are with the victims, their loved o… https://t.co/SekzUHAWAN"
930175544074874882,"RT @IronStache: I’m a union ironworker from Caledonia, Wisconsin. A Veteran. Cancer Survivor. I build things with my hands to put food on t…"
929825929244930058,Progressives didn’t just say no to Trump. They offered an agenda to make our country work for everyone not just the… https://t.co/EEHz6dRmK0
928991707881984000,"At a time when Trump and the Republican agenda are strongly opposed by the American people, it's critical we come t… https://t.co/W4vVI1XXo9"
928676510705254401,RT @JessicaGlenza: Ban Ki-moon calls for US to enact universal healthcare (like @BernieSanders proposal) and stop “powerful interests” from…
928666110588792832,Many people who had not previously been involved in politics won local positions this week. That is what the politi… https://t.co/jdLzciHESv
928378345649143808,"The political revolution we're fighting for is to get more people involved in the political process, to run for off… https://t.co/KiIo3hFptJ"
928375865809035264,I want to congratulate everyone who won yesterday – from governorships to the many first-time candidates who won po… https://t.co/O4CMNoslZW
928363924977840129,"Yesterday was a referendum on President Trump, and he lost badly. It’s clear the American people are deeply concern… https://t.co/Ne9ayn2kTR"
927932911160057856,It’s Election Day in NYC. Get out and vote for @BilldeBlasio and Democrats up and down the ballot. https://t.co/z50hRyRolC
927928884405796864,"It’s #ElectionDay, New Jersey. Get out and vote for the Democratic ticket. Then ask your friends to do the same. https://t.co/OXv5faw46k"
927927626013982720,"Atlanta, it’s time to get out and vote for @fortforatlanta. #ElectionDay Find your polling place here: https://t.co/yudlkEz2Fb"
927921336378384385,"It’s #ElectionDay. Get to the polls, bring your friends and vote for the Democratic ticket. Every vote counts. https://t.co/c9UEDRaYBJ"
