user,location,timezone,loc,text
759205132391313408,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
3385421854,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
796884596751269888,"Maryland, USA",Eastern Time (US & Canada),,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
123926189,Canada/ USA ,Eastern Time (US & Canada),,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
705209400089153536,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
891056061930590208,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
98062526,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
53128486,"Albuquerque, NM",Arizona,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
18129366,"Rochester, NY  ",Eastern Time (US & Canada),,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
574803518,Los Angeles,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
921836653089624066,,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
4894014491,"Alabama, USA",,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
938254521901469702,"Houston, TX",,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
935996810765709312,kenitra plage Mahdia ,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
47380551,,Pacific Time (US & Canada),,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
716245321542569984,Honeymoon ave,,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
25169163,Ohio,America/New_York,,"RT @HillaryClinton: 97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will be m…"
