id,text
938064831264980992,"97 years of a passionate, independent spirit, &amp; a fierce commitment to Democratic values. Mary Louise Hancock will… https://t.co/kTkAHUGlqY"
937059004013977600,"Sometimes it’s hard to know what to do after a loss. Not this time. 
This tax bill is only going to get worse as pe… https://t.co/a8Nzc6ay8j"
936371444304531456,Sign up before midnight TONIGHT! https://t.co/pWgTnNKzkp
935670482447290368,"RT @swingleft: It's #GivingTuesday! With your donation of $25 or more to Swing Left, take your pick of one of our brand-new holiday cards—p…"
935670447412269056,RT @IndivisibleTeam: This is one of the exciting things about today! Your donations are matched 1:1 for #GivingTuesday so every and any kin…
935670363924697088,RT @votingwhileblk: Support ColorOfChangePAC's work to engage Black voters in down-ballot races this #GivingTuesday 👉🏾 https://t.co/KRMsDIb…
935670254621126661,"RT @runforsomething: On Nov. 7, @runforsomething candidates added 31 seats to the progressive bench -- and we're just getting started! Toda…"
935670029819043840,"RT @EmergeAmerica: It’s clear that the answer is to elect more women. On #GivingTuesday, join our cause to recruit and train more Democrati…"
933449899487780864,"You go girl! This is important; costs will go up, &amp; powerful companies will get more powerful. We can’t let it slip… https://t.co/Zkzskxv6vO"
933107180131282944,"And on top of that, you can’t beat a little book signing wardrobe fun.

https://t.co/K8VldCmTC6 https://t.co/9q9sTlpL3I"
933105980484747264,"And being out on the book tour it has been wonderful to hear from so many people about their activism, their courag… https://t.co/PtjFm5Srh5"
933105682378870784,Wow. I wasn’t sure how letting my guard down would go...but it’s been cathartic &amp; rewarding. I loved writing this b… https://t.co/XAzGg4yEJn
932746529475055618,It’s been almost 2 months since Congress let the program that provides health care for 9 million children expire. C… https://t.co/nyta5LjMwg
932013250690023425,"RT @BillClinton: Tonight, @HillaryClinton and I will join our friend @JamesCarville for a look back at the '92 campaign—25 years later!—and…"
931304645653299201,"RT @swingleft: The House just passed a massive tax cut for the wealthy, and Republicans want to pay for it by taking apart Obamacare. 

Let…"
931292276709580802,It’s true! I want to join your book club to talk about What Happened &amp; what’s happening...sign up! https://t.co/hmWiCrBgsq
931292070312140804,"@BenSPLATT @DearEvanHansen Two friends on a perfect day. Sincerely, me."
931167854828883968,Good. https://t.co/IqanY3F28F
930540319606747137,Being your candidate was the honor of a lifetime. Now it's your turn to #runforsomething: https://t.co/ODzNQEossm
930519362158686209,Looking forward to a great discussion with my friend Dorothy and to a great day @UVA! Tune in:… https://t.co/YjpqUr2RNz
