user,location,timezone,loc,text
291319699,irapuato Guanajuato mexico ,Mexico City,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
228905996,,Pacific Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
936831693654241280,"Virginia, USA",,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
4637806341,,,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
4817711054,"Michigan, USA",,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
25739884,"Connecticut, USA",Quito,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
279655081,"Washington, USA",Pacific Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
3057759609,The United States Of America,Central Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
395593580,,Eastern Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
756620518564900867,,,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
815651291573653505,,,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
62889663,"Seal Beach, CA",,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
740737945619947521,,Eastern Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
203739108,"Parkside, PA",Atlantic Time (Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
1252397059,,,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
313657459,,,,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
109770280,TX✈️AL,Central Time (US & Canada),,"RT @JoeBiden: Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing #PromiseMeDad, p…"
825871048243556353,"Webster Groves, MO",,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
16961408,Iowa City - New York,Eastern Time (US & Canada),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
20917723,,Atlantic Time (Canada),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
217908570,,,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
36697842,"Indianapolis, IN",Indiana (East),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
57179619,"New York, NY",Eastern Time (US & Canada),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
1637858262,"Miami, Florida",,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
380502564,"Harrison, AR",Central Time (US & Canada),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
380167510,...where the sidewalk ends,Central Time (US & Canada),,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
411754148,,,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
3694776794,"N Scottsdale, AZ",,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
431534485,Niagara Falls &  NYC ,,,RT @JoeBiden: I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colleague @mike…
