id,text
938533561770106880,Be who you are. Stand for what you are. Few people embody that better than @melindagates. Enjoyed discussing… https://t.co/J6V2w4zxGx
938517364882190337,I'm going to keep speaking out on the importance of standing up to the Kremlin through my work @PennBiden. My colle… https://t.co/hKcBgoWZU2
937820420459368448,RT @bidensbriefing: “We Are Living Through A Battle For The Soul Of This Nation”: An op-ed I wrote in the days following the violence and h…
936981794787696640,"I've been on the road talking about #PromiseMeDad, the book I wrote about my son Beau, but I've been most amazed li… https://t.co/WafkI12S5Q"
936412041216114688,No one who has ever met Sandy Winnefeld has doubted his strength or resolve. And no one who reads this article will… https://t.co/hbSJEHnmf9
936400330337632257,One of the best shines I’ve ever had. https://t.co/1BwrihNF32
935967211159769089,"Throughout my career in public service, I’ve heard a lot of great ideas, and developed a few of my own. Now we want… https://t.co/h0QbdZQDjT"
935967069014814721,"Every week, we’ll hear from leaders in business, politics, academics—and everyday Americans sharing bright ideas th… https://t.co/0NndpuDpnQ"
935966975834099712,"Today I’m announcing the launch of the Biden Forum, a new space for conversations about America’s future:… https://t.co/8Yo1wcHeo6"
934477534368018434,"Today, on the International Day for the Elimination of Violence Against Women, let's remember all the work that rem… https://t.co/Uw78owAUg4"
933439675393560576,Thank you to the #AmericanPromiseTour moderators and thousands of readers who attended events or picked up a copy o… https://t.co/sT6575BdT8
929539924692480001,May today serve as a reminder of our solemn duty to look after the men and women who have served in our Armed Force… https://t.co/52zsLxmxVw
929508614083108864,"RT @DrBiden: To all our service men and women, veterans, and military families, thank you for your sacrifice. #VeteransDay2017 https://t.co…"
928440602668171267,"You’re going to make us all proud, Danica. https://t.co/doouBh0qME"
928114362837061637,Juanita Perez Williams ran an incredible campaign in Syracuse. So proud of the work she did. And still hoping for a… https://t.co/51yXACbGLp
928114153784569856,And mayors like Rick Kriseman and Joyce Craig who are incredible leaders in their communities.
928113880508837889,"State legislators like Sara Cambensy in Michigan and Danica Roem, Jennifer Carroll Foy, David Reid, John Bell, and… https://t.co/DIsK7TXE9m"
928113403608092674,"Candidates like Ralph Northam and Justin Fairfax, who will ensure that Virginia’s economic recovery continues to re… https://t.co/wIEMXQ4RF8"
928113140730130432,A resounding defeat tonight for President Trump. Voters around the country rejected the ugly politics we have seen… https://t.co/Hl9M7wLfry
927653903063310336,"Folks, there's an election happening tomorrow. We've got to keep our eye on the ball. Let's get this done. https://t.co/UWl53fswMz"
