user,location,timezone,loc,text
1636968138,,,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
421483369,Vernal Utah,,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
729766862083358720,"Irvine, CA",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
141272579,Texas,Central Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
294184615,"Danbury, CT",Eastern Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
770639264400932864,"Rwanda,Kigali City,Kicukiro Dist.,Masaka Sect.,Cyimo Cell,Kabeza Village near Chinese HO.",Pacific Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
36237586,Illinois Ohio Florida,Quito,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
216147418,PA,Eastern Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
916791202900570113,"Massachusetts, USA",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
816860455759122432,"New York, USA",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
913453301718487040,"Ohio, USA",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
768762009873711104,"The Entire Universe, BBC2 2016",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
162515347,Near a Swamp in Louisiana,Central Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
846372525319839745,,,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
752729520147345408,,,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
885983787594784769,,,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
6118902,"Austin, Texas",Central Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
22404112,"Louisville, KY",Quito,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
330714631,New York,Pacific Time (US & Canada),,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
934187419234111488,"Brentwood, TN",,,"RT @MittRomney: By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is shown, o…"
1977001584,,,,RT @MittRomney: Roy Moore in the US Senate would be a stain on the GOP and on the nation. Leigh Corfman and other victims are courageous he…
