user,location,timezone,loc,text
764244464395223041,,,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
16387036,Arkansas,,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
849511084159639552,日本 東京,,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
18229117,"Wausau, Wisconsin",Central Time (US & Canada),,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
15182074,Wisconsin,Central Time (US & Canada),,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
389028357,,,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
841749505,"Pennsylvania, USA",,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
766870610001571841,"Des Moines, IA",,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
18786099,,Quito,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
3132192169,,,,RT @PRyan: This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
871864841769590784,대한민국,,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
389028357,,,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
1671620496,,,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
53669300,"Menomonee Falls, WI",,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
188589342,"Santiago, Chile",Santiago,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
928755127,,Central Time (US & Canada),,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
841749505,"Pennsylvania, USA",,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
533470384,,,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
93288759,"Tysons Corner, VA",Eastern Time (US & Canada),,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
2606479753,"Northeastern, PA",America/New_York,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
1046229588,AYASOFYA CAMİİ ,Athens,,RT @PRyan: Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
389028357,,,,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
917790446251802624,"Missouri City, TX",,,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
849511084159639552,日本 東京,,,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
519028362,,,,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
871864841769590784,대한민국,,,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
158511996,,Central Time (US & Canada),,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
128318585,Pacific Northwest,Pacific Time (US & Canada),,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
2362831658,Southeastern Wisconsin,Central Time (US & Canada),,RT @PRyan: Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wisconsin proud! ht…
