user,location,timezone,loc,text
902665423405056001,"Florida, USA",,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
767146357270450177,"Jesup, GA",,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
782585364162674688,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
19038210,"Music City, USA - NashVegas",Central Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
192770486,"New Hampshire, USA",Eastern Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
809595542569259008,,Pacific Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
2319297264,,Eastern Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
2292171039,Ridderkerk,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
188903918,"Washington, D. C. ",Central Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
4734853219,,Pacific Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
1059644598,Kentucky,Eastern Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
1849664804,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
56038149,Being In The World(R),Eastern Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
322820840,"California, USA",,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
924497417973780480,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
2652245238,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
496717272,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
130932192,"Santa Fe, NM",Mountain Time (US & Canada),,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
921193571608350720,,,,RT @SenWarren: .@SenBernieSanders &amp; I are talking about things Democrats are fighting for in this spending bill that would make a big diffe…
2850845956,,Pacific Time (US & Canada),,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
886044124389941248,,,,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
764851009004810241,,,,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
7691882,"Cambridge, MA",Eastern Time (US & Canada),,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
1080764622,,,,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
161165024,Greater Los Angeles,,,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
622663869,Le Monde ,Amsterdam,,RT @SenWarren: The federal government will run out of money on Friday unless Congress passes a new spending bill. This isn’t just about kee…
