user,location,timezone,loc,text
102906145,,Eastern Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
3337403645,"North Carolina, USA",Eastern Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
938208340072652800,Washington DC,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
1056417762,"Atlanta, GA",,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
3438374086,"Washington, DC",,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
102409025,,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
275230561,,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
795437715890302977,,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
765719354570702848,,Pacific Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
282467653,Fiji,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
4642928055,http://www.fiveminded.com/,Pacific Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
806315706702827520,,Pacific Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
815690374211510272,"Hells Canyon,Oregon, USA. Army",,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
820331419704655873,"Ohio, USA",,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
3279690787,,,,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
2482416368,"Mission,Texas",Central Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
1279042146,,Central Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
85372198,"Dayton, Ohio",Eastern Time (US & Canada),,"RT @BetsyDeVosED: After a decade of decline, it's clearly time for a new approach. It's time to #RethinkSchool https://t.co/vPPVnWS8YR"
60150341,,Eastern Time (US & Canada),,RT @BetsyDeVosED: Our students can't move ahead - in school or in life - if they're falling behind in reading. We must do better for studen…
938208340072652800,Washington DC,,,RT @BetsyDeVosED: Our students can't move ahead - in school or in life - if they're falling behind in reading. We must do better for studen…
98959133,"Texas, USA",America/Chicago,,RT @BetsyDeVosED: Our students can't move ahead - in school or in life - if they're falling behind in reading. We must do better for studen…
2334115706,Alabama,Central Time (US & Canada),,RT @BetsyDeVosED: Our students can't move ahead - in school or in life - if they're falling behind in reading. We must do better for studen…
1056417762,"Atlanta, GA",,,RT @BetsyDeVosED: Our students can't move ahead - in school or in life - if they're falling behind in reading. We must do better for studen…
