user,location,timezone,loc,text
2696865996,,Central Time (US & Canada),,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
4927383311,,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
740191330484248576,ישראל,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
811977972546572289,,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
1725970404,"Portland, OR",Pacific Time (US & Canada),,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
550374532,"Corona, CA",Arizona,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
2875883148,United States,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
865360223703269378,"Amarillo, TX",,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
376281205,"Alberta, Canada 🇨🇦 ",,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
1396385334,Seattle WA,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
23430361,"Baltimore, MD",,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
1418199126,,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
2591095974,Northern California,,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
762663840362459136,"Connecticut, USA",,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
213288775,,Central Time (US & Canada),,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
561260315,"Laguna Beach, CA",Pacific Time (US & Canada),,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
47335376,Home,Quito,,RT @SenJohnMcCain: I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensive dip…
