user,location,timezone,loc,text
884257130198425600,United States,,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
923536003,"Miami, FL",Pacific Time (US & Canada),,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
878783517148286977,"Florida, USA",,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
761106077664419840,Unknown,,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
4277801183,"Alabama, USA",,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
80755473,"•..Brooklyn,NYC•Fairbanks,Ak.•",Alaska,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
1100116086,Hong Kong,Hong Kong,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
2474468982,,,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
809635277798940672,JAPAN,Tokyo,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
920088325620420608,,,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
893845743487864833,"Fort Lauderdale, FL",,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
866729010,المملكه العربيه السعوديه KAS ,Hawaii,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
439437130,New York,Eastern Time (US & Canada),,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
2336942408,Sequim Washington ,,,RT @mike_pence: Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b/c they'…
