id,text
938145084448571392,"By sanctioning Russia, Olympic officials place honor and integrity above money and politics. Russia under Putin is… https://t.co/M2PqwbGGSf"
937799838082781186,Roy Moore in the US Senate would be a stain on the GOP and on the nation. Leigh Corfman and other victims are coura… https://t.co/HaUCH8TE9W
937050706758029314,"A very big week for Utah’s own Senator @OrrinHatch with tax reform, Bears Ears reversion, and a presidential visit."
935643101330333697,"RT @CharityVision: If 1,000 share this &amp; donate at least $1, then we can give eyesight to THIS MANY PEOPLE! Donate at https://t.co/6AKC2tlH…"
933870617643724800,"RT @AnnRomney: On Thanksgiving, you can never have too many cooks in the kitchen! https://t.co/dVODluEBlF"
929335714013204480,"On this Veterans Day, let’s honor our servicemen and women and take a moment to reflect on the sacrifices they make to ensure our liberty."
928999549376528385,"Innocent until proven guilty is for criminal convictions, not elections. I believe Leigh Corfman. Her account is to… https://t.co/J7YLdKENtq"
928110407637663746,"Congratulations, Congressman-elect Curtis! https://t.co/5njtnbWCiH"
927610360366092290,RT @AnnRomney: Happy to vote by mail today for John Curtis for Congress. https://t.co/2KynT599Cx
927347925801472000,"Praying for the people of Sutherland Springs, who today were met with tremendous evil in their most sacred space."
925501255870566400,Overwhelmed today with thought of the pain and heartache suffered by victims and families in New York. God bless these fellow Americans.
920316334185107464,"Ran against him, sometimes disagree, but proud to be a friend of @SenJohnMcCain: hero, champion of character and last night, Lincolnesque."
918467793997230080,"Uncontrolled fires, loss of lives &amp; property = failure of prime govt responsibility, underinvestment in helos, planes, personnel, systems."
914850284463108097,Ann and I pray for the dead and wounded in the Las Vegas massacre. Grateful for the heroes who risked their lives to help the innocent.
913540384436948993,Congratulations to Jon Huntsman Jr. on confirmation as Ambassador to Russia. His experience and clear-eyed resolve are badly needed.
912378064524464130,"Just spoke w/ fmr Gov @luisfortuno51: “PR on brink of humanitarian disaster."" USVI too. DC must put aside controversies, prioritize rescue."
912365640312377345,"Patriot, Uniter, Leader, Hero. https://t.co/Lf4WTO301f"
910163781803810817,"President Trump gave a strong and needed challenge to UN members to live up
to its charter and to confront global challenges."
908671921784532992,Harvard's about-face deserves credit; not easy to admit being wrong.
908407547794771968,"Well done, Mike. And abject shame on Harvard. https://t.co/SfI1HxDpdD"
