id,text
938418274336874496,This tax deal will make America more prosperous: https://t.co/ZW5nQuqrFU |@chicagotribune https://t.co/Zd3MU9adet
938189492837425152,Federal Tax Reform Could Mean Lower Taxes For Wisconsin Breweries https://t.co/28lP3ee8lz | @WPR
938113255058432003,Congrats to Waukesha native @JJWatt for being honored as SI's Sportsperson of the Year. You continue to make Wiscon… https://t.co/ABPJZwrjIR
938034139160305664,RT @RightWisconsin: This bill is a once in a generation opportunity to turn ordinary Americans’ tax cut wishes into reality. https://t.co/B…
937839187390353408,From the @ABCofWisconsin: Wisconsin small businesses support the tax cuts bill  → https://t.co/RMOnWQfoDH | @RightWisconsin
937816557681602560,RT @NRCC: We're closer than ever before. #taxreform https://t.co/YTnQrjAg5V
937002944053968896,On Wisconsin! #BeatOSU https://t.co/UnsB85vhTB
936742226477977600,"By fixing our tax code, we're not only giving a tax cut to middle-class Wisconsin families, we're creating jobs and… https://t.co/4T94kYfmkW"
936711268274077696,"We're cutting taxes for the middle class across America. In Wisconsin, the median family of four will get, on avera… https://t.co/QgebQK4fNj"
936677787959574528,"Economists agree tax reform will accelerate growth, leading to more jobs, higher wages, and a better standard of li… https://t.co/KkJ69fynQc"
936650118790496256,I think we're having a watershed moment in this country. We're realizing that sexual harassment in America is perva… https://t.co/tWjDCaOZhL
936378560696029184,Modernizing our tax code will help Montana small business. Here's how from the @missoulian and Montana State Rep. G… https://t.co/6jWWInmbrb
936372646916354048,"RT @fox6now: “Amazing, undefeated season:” @GovWalker asks fans to wear red in support of @UWBadgers 🏈
 https://t.co/ShUYhxoIwB https://t.c…"
936347366659047424,"We are giving Americans at every income level a tax break. For the average middle-class family, that's an extra $1,… https://t.co/3SdgNvvqIO"
936322443681001472,"""In Wisconsin, we know that to grow the economy, you have to be open for business."" Speaker Robin Vos explains how… https://t.co/JTuN1fURtc"
936293759838453760,Read the open letter over 130 economists sent to Congress in support of the GOP Tax plan https://t.co/i5cUDCURDy
936020966634799104,Tax reform will help Americans all across our country. https://t.co/U1ru23M6tT
936000319653216258,A Wisconsin manufacturer on how tax reform will help American companies compete internationally. Read more:… https://t.co/kEMvCug7e5
935977166260486144,How Tax Reform Fueled Michigan's Resurgence →  https://t.co/qRPwVuwiqz
935919537798594560,"Passing #TaxReform will help us keep this growth going

⬆️ More Jobs
⬆️ Bigger Paychecks
⬆️ Better Opportunities https://t.co/zTSMZJAxww"
