id,text
938512263505481728,"RT @ozy: We ran into our most recent Presidential Daily Brief curator ( @SenJohnMcCain) in the halls of the Capitol! 🇺🇸 🏛

Check out McCain…"
938480287956258816,I've long believed #Jerusalem is the true capital of #Israel. Today's announcement should be part of a comprehensiv… https://t.co/Tu8opAStmk
938459930704728064,Great to see you @GeneralBrnovich &amp; thanks for all you do for #Arizona! #GoNavy https://t.co/x7MugGzAWk
938427542511456257,Cindy &amp; I are praying for all those impacted by the #CaliforniaWildfires. Thanks to #Arizona's brave firefighters w… https://t.co/yCPdXgQU96
938426855882969099,STOP THE PRESSES! https://t.co/5xj1z4X8tI
938423702340894720,"Must-read @washingtonpost: ""Brothers in arms: Four siblings wrote hundreds of letters to each other during World Wa… https://t.co/OrAD9cH77Q"
938177508230483969,"Unacceptable we still don't have a budget deal. When @POTUS &amp; congressional leaders meet this week, they must final… https://t.co/VKyzqPzN8B"
938164576423727104,Deeply saddened by the passing of Navajo Code Talker George B. Willie Sr. I had the great honor of meeting this her… https://t.co/zpGqBHaBiQ
938151500878139392,IOC's decision to ban #Russia from Winter @Olympics is a welcome step in serving justice to #Putin’s gov't for its… https://t.co/LmO1kN204L
938088719512371201,The murder of fmr Yemeni President Ali Abdullah Saleh proves that the Houthis &amp; their Iranian sponsors have no inte… https://t.co/7oe3XIiMnY
938063650870439936,".@PaysonRoundup #Arizona: ""End to ‘fire borrowing’ proposed"" https://t.co/evWYdttDrl"
938062458261995521,"Must-read @WSJ: ""Trump Leads From Behind in #Syria"" https://t.co/XihmOa4Xtw"
937759866982141954,"RT @JerryMoran: More on my bill with @SenJohnMcCain to reform the @DeptVetAffairs, via @CJOnline: 
https://t.co/PzosyMG3kD"
937745665735708672,The @TravelChannel just named #Phoenix’s CitySkate one of the top outdoor skating rinks in the US. Make sure to get… https://t.co/NBCEmKkx8O
937735054020759552,We're only 74 Twitter followers away from 3M - spread the word &amp; help us reach this big milestone!
937730363257950208,RT @POLITICOPro: .@SenJohnMcCain and @JerryMoran push VA health care reform bill. The latest from @Greg_Hellman: https://t.co/T4qhIw49Bq
937716590325444608,Proud to introduce bill w/ @JerryMoran to transform @DeptVetAffairs into a 21st century health care system. Our bil… https://t.co/MmRR8pU0ox
937715537949396993,Welcome to #Arizona Herm Edwards! https://t.co/shPNF8X9Wo
937026390024708096,My @HASCRepublicans colleague @MacTXPress kicked off @ReaganDefense Forum at the Reagan Library in #CA this morning… https://t.co/mS9f6Phtdk
937025489696428032,Thanks @haimsaban &amp; @BrookingsInst for putting on another great #Saban17 Forum https://t.co/NObAiNOKen
