id,text
930982584649175047,Great meeting w/ GOP Govs at @The_RGA on @realdonaldtrump's pro-JOBS tax cuts. Those Govs know all about tax cuts b… https://t.co/dtRW0yHr3S
930954564769124352,.@realdonaldtrump's vision for tax cuts will deliver nothing short of that MIDDLE-CLASS MIRACLE – and each of the G… https://t.co/hqDt7fokin
930954365334097921,"Today at @The_RGA I told my fellow Republicans that before the end of this year, under @realdonaldtrump, we’re goin… https://t.co/dsSKR4TqUM"
928283695353683970,RT @VP: A year of accomplishments under @POTUS. 1.5 million new jobs. The stock market is setting records. POTUS stands without apology for…
927885251233439745,".@EdWGillespie will cut taxes, grow the economy &amp; support law enforcement - he will be a GREAT Governor for Virginia. Vote today!"
927867073652559872,RT @realDonaldTrump: .@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be go…
926940341361659905,I'm honored. Thanks for all @SBAList does for life. I'm in. https://t.co/3wWGRHc7yU
926279490761838592,RT @FloridaGOP: Great speech by @VP Pence at our Statesman’s Dinner! #sayfie #flapol https://t.co/UJARTmGh5Y
926233363631001600,"With the support of FL and the leadership of @POTUS Trump, we'll pass the largest tax cut in American history—and we'll pass it this year."
926233011909165056,Governor @ScottforFlorida and I heard earlier today from FL families and job creators. Florida needs a tax cut—and… https://t.co/btHqrs7rbm
926232327151374336,.@POTUS &amp; I are committed to working w/ all of FL's GOP leaders to give Americans tax reform that will make the Ame… https://t.co/YrCOyDcs6a
923714029645893637,"@realDonaldTrump With Republican unity, we'll cut taxes across the board, rebuild America, and renew American strength at home and abroad."
923713809784758273,"@realDonaldTrump With Republican unity, we're already rebuilding our military, reviving our economy, and renewing our judiciary."
923713639995109376,"With the leadership of Pres. @realDonaldTrump, we will pass the largest tax cut in American history."
923713496575029248,"The truth is that cutting taxes is the key to a new era of soaring incomes, more jobs, &amp; a thriving middle class."
923713296456396800,"Today, w/ the passage of the budget in the House, we have set the table to cut taxes for working families, small biz &amp; family farms."
923713001441710080,In Colorado to thank Colorado Republicans who've stood w/ us every step of the way through the 2016 election &amp; to a… https://t.co/vYRhNHOw1l
923270871573237760,.@realdonaldtrump &amp; I are proud to stand with you Ed! You will be a great governor for ALL Virginians! https://t.co/ynvhGIxzuD
919344922813190145,".@EdWGillespie is pro-jobs, pro-growth, pro-American energy, pro-life, &amp; pro-2nd Amendment. If you name it, Ed’s on… https://t.co/Nu2RcI4Dpz"
919340195178336256,.@EdWGillespie is fighting to grow the economy &amp; cut taxes! He’s fighting for a safer VA. And he’s is fighting for… https://t.co/c2G2Kh5Jff
