user,location,timezone,loc,text
761276110646554628,"Vestavia Hills, AL",,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
832872262701301760,United States of America,,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
929095556013707264,,Pacific Time (US & Canada),,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
244354663,,Pacific Time (US & Canada),,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
1830721369,"Huxley, IA",Eastern Time (US & Canada),,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
618014614,Australia,,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
457745190,"Elkhorn, NE",,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
776831375173234688,"Jammu, Jammu And Kashmir",,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
615443980,,,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
933743848810995713,"Brea, CA",,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
2450460074,,London,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
807020778256527360,,,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
1004554363,,Casablanca,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
758461975189983232,"Bronx, NY",,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
3323567243,,,,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
804500517804064768,TEXAS ,Pacific Time (US & Canada),,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
1604065028,,Central Time (US & Canada),,RT @realDonaldTrump: I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the…
3776706073,Australia,,,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
1083467756,massachusetts,,,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
919135494222487552,"Haryana, India",,,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
441063307,United States,Mountain Time (US & Canada),,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
212835074,California,Pacific Time (US & Canada),,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
926467938319851521,United States,,,"RT @realDonaldTrump: Join me live from the @WhiteHouse via #Periscope
https://t.co/wLXKoISSTG"
